refund_request_id,order_id,payment_id,customer_id,decision_time,reason_code,claimed_refund_amount_paise,gateway_authorized_execution_amount_paise,requested_quantity,returnless_requested,evidence_provided,is_refund_abuse_simulated,simulation_scenario,outcome_available_at,verification_result_simulated,partition,lane
v2_rr_0000063,ord_0000744,v2_pay_0000063,cus_8175fab0f98f6bbe,2009-12-16T11:38:16.657588202Z,damaged,2803928,2803928,268,False,True,False,genuine_product_defect_burst,2010-01-06T11:38:16.657588202Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000064,ord_0000292,v2_pay_0000064,cus_7d9985200ab69361,2009-12-16T14:30:37.312985019Z,other,39525036,39525036,4026,False,True,False,routine_legitimate,2010-01-05T14:30:37.312985019Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000065,ord_0000628,v2_pay_0000065,cus_481e438f1cea4237,2009-12-16T14:30:57.404362064Z,damaged,564124,564124,72,False,True,True,evidence_inconsistency,2010-01-03T14:30:57.404362064Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000066,ord_0000123,v2_pay_0000066,cus_25af97598a75fea7,2009-12-16T15:31:32.730344818Z,size,2144831,2144831,216,False,True,False,routine_legitimate,2010-01-08T15:31:32.730344818Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000067,ord_0000357,v2_pay_0000067,cus_a52aba194c20f561,2009-12-16T18:30:00.780233418Z,not_received,2046753,2046753,46,True,True,False,routine_legitimate,2010-01-01T18:30:00.780233418Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000068,ord_0000014,v2_pay_0000068,cus_0dacb43c359ab517,2009-12-16T19:50:08.411428118Z,size,702487,702487,89,False,True,False,routine_legitimate,2009-12-30T19:50:08.411428118Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000069,ord_0000732,v2_pay_0000069,cus_7499011c36aea436,2009-12-16T22:12:13.866981230Z,missing,324551,324551,62,False,False,True,serial_false_claim,2010-01-03T22:12:13.866981230Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000070,ord_0000714,v2_pay_0000070,cus_31d1b7446de57217,2009-12-16T23:31:43.038830883Z,missing,11935568,11935568,1188,False,True,False,routine_legitimate,2010-01-01T23:31:43.038830883Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000071,ord_0000321,v2_pay_0000071,cus_0365c0e510b6c7e1,2009-12-17T00:11:38.726605584Z,size,38796,38796,18,False,True,False,high_value_loyal_customer,2010-01-02T00:11:38.726605584Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000072,ord_0000730,v2_pay_0000072,cus_515542cfe2311149,2009-12-17T03:41:50.983602753Z,not_received,748997,748997,66,False,True,True,repeated_claim_pattern,2010-01-09T03:41:50.983602753Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000073,ord_0000048,v2_pay_0000073,cus_f6ec324f7ac0e0d1,2009-12-17T03:43:59.461709356Z,missing,389898,389898,7,False,True,False,routine_legitimate,2010-01-04T03:43:59.461709356Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000074,ord_0001127,v2_pay_0000074,cus_86966cbc36a3af65,2009-12-17T05:17:50.750003572Z,damaged,1871066,1871066,467,False,True,False,first_time_refund,2010-01-08T05:17:50.750003572Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000075,ord_0000424,v2_pay_0000075,cus_ec18f93dc434def9,2009-12-17T06:10:08.695112066Z,damaged,5238762,5238762,246,False,False,False,routine_legitimate,2010-01-02T06:10:08.695112066Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000076,ord_0000677,v2_pay_0000076,cus_c8d736864a1d4d71,2009-12-17T06:21:40.413794598Z,not_received,1942712,1942712,94,True,True,False,routine_legitimate,2010-01-08T06:21:40.413794598Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000077,ord_0000820,v2_pay_0000077,cus_fd1a4828e3ef0853,2009-12-17T06:48:01.137315530Z,not_received,6697,6697,3,False,True,True,peer_deviation,2010-01-08T06:48:01.137315530Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000078,ord_0000620,v2_pay_0000078,cus_ac3d5fdbd5ad2cc1,2009-12-17T08:20:02.067687465Z,missing,17504,17504,1,False,True,False,routine_legitimate,2010-01-02T08:20:02.067687465Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000079,ord_0000338,v2_pay_0000079,cus_e102abca2d4e61d0,2009-12-17T13:46:24.295806055Z,not_received,157550,157550,7,False,True,False,routine_legitimate,2009-12-31T13:46:24.295806055Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000080,ord_0000477,v2_pay_0000080,cus_7cd579f7d0049537,2009-12-17T14:03:17.032456822Z,size,710544,710544,24,False,True,False,cold_start_customer,2010-01-06T14:03:17.032456822Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000081,ord_0000252,v2_pay_0000081,cus_d5b6f32b6bda7e10,2009-12-17T22:40:23.437561008Z,missing,2579869,2579869,124,True,True,False,unusual_legitimate_purchase,2010-01-07T22:40:23.437561008Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000082,ord_0000497,v2_pay_0000082,cus_c4f89191535115b1,2009-12-17T23:46:46.546516615Z,damaged,343077,343077,57,False,True,False,routine_legitimate,2010-01-06T23:46:46.546516615Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000083,ord_0000188,v2_pay_0000083,cus_bc04373d556b09cc,2009-12-18T05:01:21.414292183Z,missing,1505903,1505903,111,True,True,True,claim_timing,2010-01-10T05:01:21.414292183Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000084,ord_0000957,v2_pay_0000084,cus_2f6ba565f04d143d,2009-12-18T06:25:33.944970211Z,not_received,9329913,9329913,389,False,False,False,routine_legitimate,2010-01-06T06:25:33.944970211Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000085,ord_0000726,v2_pay_0000085,cus_854cfc2aa97e5d8d,2009-12-18T08:36:53.576310468Z,damaged,54162,54162,1,False,True,False,routine_legitimate,2010-01-09T08:36:53.576310468Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000086,ord_0000154,v2_pay_0000086,cus_93575d917e449c2e,2009-12-18T09:33:53.986670474Z,missing,151108,151108,9,False,True,False,routine_legitimate,2010-01-04T09:33:53.986670474Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000087,ord_0000722,v2_pay_0000087,cus_98a96847659b5014,2009-12-18T09:50:58.074008017Z,other,91583,91583,2,False,False,False,missing_evidence,2010-01-07T09:50:58.074008017Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000088,ord_0000433,v2_pay_0000088,cus_c9057e184fe3360b,2009-12-18T12:59:56.860706397Z,missing,18612,18612,1,False,False,False,verifier_unavailable,2010-01-08T12:59:56.860706397Z,verifier_unavailable,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000089,ord_0000201,v2_pay_0000089,cus_987c9f33b7fe9c29,2009-12-18T13:00:46.364952368Z,missing,506981,506981,46,True,True,False,routine_legitimate,2010-01-07T13:00:46.364952368Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000090,ord_0000339,v2_pay_0000090,cus_d5f37de7fe58bac3,2009-12-18T13:06:04.122214784Z,not_received,501124,501124,134,False,False,False,routine_legitimate,2010-01-07T13:06:04.122214784Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000091,ord_0000395,v2_pay_0000091,cus_82fe4775f9ebd708,2009-12-18T14:47:27.714719125Z,damaged,6586714,6586714,333,True,False,False,routine_legitimate,2010-01-04T14:47:27.714719125Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000092,ord_0000306,v2_pay_0000092,cus_4a1cb885af8af1ed,2009-12-18T21:24:09.728484098Z,other,649283,649283,53,True,True,True,claim_reason_inconsistency,2010-01-04T21:24:09.728484098Z,inconsistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000093,ord_0001059,v2_pay_0000093,cus_f797b29996d9de83,2009-12-18T21:51:48.418333672Z,damaged,996325,996325,111,True,False,False,genuine_product_defect_burst,2010-01-03T21:51:48.418333672Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000094,ord_0000354,v2_pay_0000094,cus_51fc239f7bb80301,2009-12-19T00:04:47.650264836Z,missing,2169720,2169720,87,False,True,True,supporting_entity_pattern,2010-01-04T00:04:47.650264836Z,evidence_inconclusive,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000095,ord_0000982,v2_pay_0000095,cus_5dd5d0aef6db158b,2009-12-19T00:20:33.597622074Z,missing,525797,525797,238,False,True,False,routine_legitimate,2010-01-11T00:20:33.597622074Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
v2_rr_0000096,ord_0001112,v2_pay_0000096,cus_3266babd1f9a2ac0,2009-12-19T01:25:51.906076575Z,missing,311755,311755,52,False,False,False,high_value_loyal_customer,2010-01-08T01:25:51.906076575Z,consistent,train,ML_ELIGIBLE_AMBIGUOUS_CLAIM
