refund_request_id,is_refund_abuse_simulated,simulation_scenario,outcome_available_at,verification_result_simulated
v2_rr_0009631,False,genuine_product_defect_burst,2011-09-20T06:19:34.082660336Z,inconsistent
v2_rr_0009632,False,routine_legitimate,2011-09-24T06:48:50.391166128Z,consistent
v2_rr_0009633,False,routine_legitimate,2011-09-23T07:15:39.433570640Z,consistent
v2_rr_0009634,False,high_value_loyal_customer,2011-09-24T08:16:53.040403494Z,consistent
v2_rr_0009635,False,routine_legitimate,2011-09-21T10:33:19.287627787Z,consistent
v2_rr_0009636,False,routine_legitimate,2011-09-17T14:42:45.595213962Z,evidence_inconclusive
v2_rr_0009637,False,routine_legitimate,2011-09-26T19:12:37.833151672Z,consistent
v2_rr_0009638,False,routine_legitimate,2011-09-20T19:24:16.573273186Z,evidence_inconclusive
v2_rr_0009639,False,routine_legitimate,2011-09-17T21:02:18.399737540Z,evidence_inconclusive
v2_rr_0009640,False,routine_legitimate,2011-09-21T21:56:47.700244807Z,consistent
v2_rr_0009641,False,routine_legitimate,2011-09-19T02:31:24.334174848Z,consistent
v2_rr_0009642,False,routine_legitimate,2011-09-22T04:30:38.483230438Z,consistent
v2_rr_0009643,False,routine_legitimate,2011-09-22T08:17:54.401859426Z,consistent
v2_rr_0009644,False,routine_legitimate,2011-09-20T08:19:21.197125584Z,consistent
v2_rr_0009645,False,routine_legitimate,2011-09-20T13:16:03.427672078Z,consistent
v2_rr_0009646,False,first_time_refund,2011-09-24T13:38:17.972575659Z,consistent
v2_rr_0009647,False,routine_legitimate,2011-09-22T14:45:20.928250252Z,consistent
v2_rr_0009648,False,routine_legitimate,2011-09-23T15:27:24.671654277Z,consistent
v2_rr_0009649,False,routine_legitimate,2011-09-24T16:08:41.240016229Z,consistent
v2_rr_0009650,False,routine_legitimate,2011-09-22T16:10:31.393790082Z,consistent
v2_rr_0009651,False,routine_legitimate,2011-09-21T17:04:35.449906506Z,consistent
v2_rr_0009652,False,routine_legitimate,2011-09-24T20:30:28.391809364Z,consistent
v2_rr_0009653,False,routine_legitimate,2011-09-21T21:27:22.734629452Z,consistent
v2_rr_0009654,False,routine_legitimate,2011-09-24T22:28:30.361462960Z,inconsistent
v2_rr_0009655,False,routine_legitimate,2011-09-19T23:54:39.145111708Z,consistent
v2_rr_0009656,False,routine_legitimate,2011-09-20T04:28:35.219971904Z,consistent
v2_rr_0009657,False,routine_legitimate,2011-09-22T07:42:38.814924582Z,evidence_inconclusive
v2_rr_0009658,False,routine_legitimate,2011-09-28T14:29:37.432684670Z,consistent
v2_rr_0009659,False,cold_start_customer,2011-09-24T17:43:03.027174922Z,consistent
v2_rr_0009660,False,routine_legitimate,2011-09-24T20:25:21.633355473Z,consistent
v2_rr_0009661,True,claim_timing,2011-09-24T04:34:48.435801543Z,evidence_inconclusive
v2_rr_0009662,False,routine_legitimate,2011-09-24T05:24:42.859380966Z,consistent
v2_rr_0009663,False,unusual_legitimate_purchase,2011-09-28T06:11:29.893802004Z,consistent
v2_rr_0009664,False,missing_evidence,2011-09-26T07:41:30.570240511Z,evidence_inconclusive
v2_rr_0009665,False,routine_legitimate,2011-09-25T09:11:33.442311451Z,consistent
v2_rr_0009666,False,routine_legitimate,2011-09-27T10:20:08.224819456Z,inconsistent
v2_rr_0009667,False,routine_legitimate,2011-09-26T11:03:20.172883813Z,consistent
v2_rr_0009668,False,routine_legitimate,2011-09-21T12:17:12.082528452Z,consistent
v2_rr_0009669,False,routine_legitimate,2011-09-23T16:53:29.930917550Z,consistent
v2_rr_0009670,False,routine_legitimate,2011-09-25T17:36:24.020794359Z,evidence_inconclusive
v2_rr_0009671,False,routine_legitimate,2011-09-27T17:45:58.707504990Z,consistent
v2_rr_0009672,False,routine_legitimate,2011-09-26T20:36:25.080658614Z,evidence_inconclusive
v2_rr_0009673,False,routine_legitimate,2011-09-27T21:19:36.441305822Z,consistent
v2_rr_0009674,False,routine_legitimate,2011-09-29T03:17:09.119106343Z,consistent
v2_rr_0009675,False,routine_legitimate,2011-09-26T05:06:01.954079224Z,consistent
v2_rr_0009676,False,verifier_unavailable,2011-09-24T05:08:34.797459878Z,verifier_unavailable
v2_rr_0009677,False,routine_legitimate,2011-09-22T06:12:16.637811588Z,consistent
v2_rr_0009678,False,genuine_product_defect_burst,2011-09-30T06:21:23.055913953Z,consistent
v2_rr_0009679,False,routine_legitimate,2011-09-30T07:53:09.895465450Z,evidence_inconclusive
v2_rr_0009680,False,high_value_loyal_customer,2011-09-29T09:37:41.304636154Z,consistent
v2_rr_0009681,False,routine_legitimate,2011-09-21T09:55:18.517213152Z,consistent
v2_rr_0009682,False,first_time_refund,2011-09-24T11:12:55.708480616Z,consistent
v2_rr_0009683,True,claim_reason_inconsistency,2011-09-24T11:29:25.892581683Z,evidence_inconclusive
v2_rr_0009684,True,supporting_entity_pattern,2011-09-28T12:52:58.412511824Z,inconsistent
v2_rr_0009685,True,cross_category_escalation,2011-09-24T13:48:57.483876757Z,inconsistent
v2_rr_0009686,True,evidence_inconsistency,2011-09-24T13:56:48.117521646Z,inconsistent
v2_rr_0009687,False,cold_start_customer,2011-09-22T16:31:41.820683356Z,consistent
v2_rr_0009688,False,unusual_legitimate_purchase,2011-09-28T16:57:33.855364923Z,consistent
v2_rr_0009689,False,routine_legitimate,2011-09-28T17:10:13.011823779Z,consistent
v2_rr_0009690,False,routine_legitimate,2011-09-21T17:17:00.390024772Z,consistent
v2_rr_0009691,False,routine_legitimate,2011-09-23T18:05:34.387381702Z,consistent
v2_rr_0009692,False,routine_legitimate,2011-09-21T20:35:57.474206824Z,consistent
v2_rr_0009693,False,routine_legitimate,2011-09-28T06:27:32.688610916Z,consistent
v2_rr_0009694,False,routine_legitimate,2011-09-22T07:29:16.214809044Z,consistent
v2_rr_0009695,False,routine_legitimate,2011-09-26T07:29:19.815963169Z,consistent
v2_rr_0009696,False,routine_legitimate,2011-09-22T07:35:46.206913106Z,consistent
v2_rr_0009697,False,routine_legitimate,2011-09-26T09:05:55.210681714Z,consistent
v2_rr_0009698,False,routine_legitimate,2011-09-23T13:29:22.816511032Z,consistent
v2_rr_0009699,False,routine_legitimate,2011-10-01T15:33:37.663200705Z,consistent
v2_rr_0009700,False,routine_legitimate,2011-10-01T18:08:44.014672862Z,consistent
v2_rr_0009701,False,routine_legitimate,2011-09-23T18:52:33.398172418Z,consistent
v2_rr_0009702,False,routine_legitimate,2011-10-01T21:27:15.674163750Z,consistent
v2_rr_0009703,False,routine_legitimate,2011-09-23T21:43:39.246294171Z,consistent
v2_rr_0009704,False,missing_evidence,2011-09-22T21:59:43.820291208Z,evidence_inconclusive
v2_rr_0009705,False,routine_legitimate,2011-09-30T23:47:54.702482935Z,evidence_inconclusive
v2_rr_0009706,False,routine_legitimate,2011-09-29T23:48:02.243064603Z,evidence_inconclusive
v2_rr_0009707,True,serial_false_claim,2011-10-01T00:45:11.389390989Z,inconsistent
v2_rr_0009708,False,routine_legitimate,2011-09-25T01:30:10.032991008Z,consistent
v2_rr_0009709,True,repeated_claim_pattern,2011-10-01T04:03:15.889231098Z,evidence_inconclusive
v2_rr_0009710,False,routine_legitimate,2011-09-28T06:36:51.382648470Z,consistent
v2_rr_0009711,False,routine_legitimate,2011-09-28T06:52:19.795254861Z,consistent
v2_rr_0009712,False,verifier_unavailable,2011-10-02T07:25:21.087652009Z,verifier_unavailable
v2_rr_0009713,False,routine_legitimate,2011-10-01T08:09:11.159777158Z,evidence_inconclusive
v2_rr_0009714,False,genuine_product_defect_burst,2011-09-29T10:31:14.617857442Z,consistent
v2_rr_0009715,False,routine_legitimate,2011-09-30T11:10:55.476717861Z,consistent
v2_rr_0009716,False,high_value_loyal_customer,2011-09-27T12:41:50.868648060Z,consistent
v2_rr_0009717,False,routine_legitimate,2011-09-29T14:01:01.919176521Z,consistent
v2_rr_0009718,False,routine_legitimate,2011-09-25T14:20:32.851610695Z,consistent
v2_rr_0009719,False,routine_legitimate,2011-09-27T14:34:43.847313478Z,consistent
v2_rr_0009720,False,first_time_refund,2011-09-27T15:37:09.214692295Z,consistent
v2_rr_0009721,False,cold_start_customer,2011-09-27T15:40:18.700447638Z,consistent
v2_rr_0009722,False,routine_legitimate,2011-09-30T15:55:39.899565511Z,consistent
v2_rr_0009723,True,peer_deviation,2011-09-27T16:41:13.343969438Z,evidence_inconclusive
v2_rr_0009724,False,routine_legitimate,2011-09-27T16:48:24.669589256Z,consistent
v2_rr_0009725,False,routine_legitimate,2011-09-24T17:49:21.613634112Z,consistent
v2_rr_0009726,False,unusual_legitimate_purchase,2011-10-01T21:38:03.652935339Z,consistent
v2_rr_0009727,False,routine_legitimate,2011-09-26T22:28:33.943809051Z,consistent
v2_rr_0009728,False,missing_evidence,2011-09-29T23:05:41.404855873Z,evidence_inconclusive
v2_rr_0009729,False,routine_legitimate,2011-09-27T01:41:35.660218695Z,consistent
v2_rr_0009730,False,routine_legitimate,2011-10-03T04:03:07.656318153Z,consistent
v2_rr_0009731,False,routine_legitimate,2011-10-02T04:12:52.382561499Z,consistent
v2_rr_0009732,False,routine_legitimate,2011-09-27T05:56:29.271432440Z,evidence_inconclusive
v2_rr_0009733,False,routine_legitimate,2011-10-02T09:27:43.903853929Z,consistent
v2_rr_0009734,False,verifier_unavailable,2011-09-24T11:21:14.771624899Z,verifier_unavailable
v2_rr_0009735,False,routine_legitimate,2011-10-01T13:18:03.802590931Z,consistent
v2_rr_0009736,False,routine_legitimate,2011-09-27T14:20:23.681789714Z,evidence_inconclusive
v2_rr_0009737,False,routine_legitimate,2011-09-30T16:29:04.076273517Z,consistent
v2_rr_0009738,False,genuine_product_defect_burst,2011-09-30T16:50:43.151323852Z,consistent
v2_rr_0009739,False,routine_legitimate,2011-10-03T18:27:25.020182256Z,consistent
v2_rr_0009740,False,routine_legitimate,2011-10-01T21:57:54.027668222Z,consistent
v2_rr_0009741,False,routine_legitimate,2011-10-01T00:20:17.319447121Z,consistent
v2_rr_0009742,False,routine_legitimate,2011-09-27T01:50:47.073968587Z,consistent
v2_rr_0009743,False,routine_legitimate,2011-09-30T02:13:41.664110557Z,consistent
v2_rr_0009744,False,routine_legitimate,2011-09-28T05:55:16.880663150Z,consistent
v2_rr_0009745,False,routine_legitimate,2011-09-28T06:04:33.625188956Z,consistent
v2_rr_0009746,False,high_value_loyal_customer,2011-10-02T06:24:16.224071162Z,consistent
v2_rr_0009747,False,first_time_refund,2011-10-02T07:07:15.342892718Z,consistent
v2_rr_0009748,False,routine_legitimate,2011-09-28T07:28:05.935098037Z,consistent
v2_rr_0009749,False,routine_legitimate,2011-09-27T08:24:07.742515150Z,evidence_inconclusive
v2_rr_0009750,False,routine_legitimate,2011-09-26T12:02:07.508920939Z,consistent
v2_rr_0009751,False,routine_legitimate,2011-09-26T12:17:16.256140851Z,evidence_inconclusive
v2_rr_0009752,True,claim_timing,2011-09-27T12:39:45.217803945Z,inconsistent
v2_rr_0009753,False,cold_start_customer,2011-09-28T17:46:27.353494161Z,consistent
v2_rr_0009754,False,routine_legitimate,2011-09-27T19:56:48.659858247Z,consistent
v2_rr_0009755,False,routine_legitimate,2011-09-26T20:45:52.199789146Z,consistent
v2_rr_0009756,False,routine_legitimate,2011-10-02T22:48:05.652044662Z,consistent
v2_rr_0009757,False,unusual_legitimate_purchase,2011-10-02T23:03:45.709199451Z,consistent
v2_rr_0009758,False,missing_evidence,2011-10-03T23:41:27.040463394Z,evidence_inconclusive
v2_rr_0009759,False,routine_legitimate,2011-09-29T00:46:38.136870159Z,consistent
v2_rr_0009760,False,routine_legitimate,2011-10-05T03:07:41.011245849Z,consistent
v2_rr_0009761,False,routine_legitimate,2011-09-27T06:56:44.835465175Z,inconsistent
v2_rr_0009762,False,routine_legitimate,2011-10-02T10:41:19.320279814Z,consistent
v2_rr_0009763,False,routine_legitimate,2011-09-29T10:43:07.747708921Z,consistent
v2_rr_0009764,True,claim_reason_inconsistency,2011-09-29T14:17:42.581490194Z,inconsistent
v2_rr_0009765,False,routine_legitimate,2011-10-04T15:55:06.902970829Z,consistent
v2_rr_0009766,False,routine_legitimate,2011-09-26T16:33:55.527006555Z,consistent
v2_rr_0009767,False,routine_legitimate,2011-09-29T17:06:09.017751817Z,consistent
v2_rr_0009768,False,verifier_unavailable,2011-10-01T18:47:52.063421515Z,verifier_unavailable
v2_rr_0009769,False,genuine_product_defect_burst,2011-09-30T22:59:31.489907218Z,inconsistent
v2_rr_0009770,True,supporting_entity_pattern,2011-09-30T23:04:00.308839957Z,inconsistent
v2_rr_0009771,False,routine_legitimate,2011-10-01T23:04:06.991842172Z,inconsistent
v2_rr_0009772,False,routine_legitimate,2011-10-04T00:01:47.874051450Z,consistent
v2_rr_0009773,False,high_value_loyal_customer,2011-10-03T00:48:33.409938386Z,consistent
v2_rr_0009774,True,cross_category_escalation,2011-09-30T02:38:26.975610061Z,consistent
v2_rr_0009775,False,routine_legitimate,2011-10-05T03:41:22.835335281Z,consistent
v2_rr_0009776,False,first_time_refund,2011-10-01T05:15:38.647376437Z,consistent
v2_rr_0009777,False,routine_legitimate,2011-10-06T06:24:45.111767593Z,consistent
v2_rr_0009778,False,routine_legitimate,2011-09-27T06:45:42.834521709Z,consistent
v2_rr_0009779,True,evidence_inconsistency,2011-09-27T06:49:35.553767602Z,inconsistent
v2_rr_0009780,False,routine_legitimate,2011-09-27T08:49:22.021308002Z,consistent
v2_rr_0009781,False,routine_legitimate,2011-10-05T09:45:14.655104725Z,consistent
v2_rr_0009782,False,routine_legitimate,2011-10-06T12:15:33.505794548Z,consistent
v2_rr_0009783,False,routine_legitimate,2011-10-02T15:39:58.446797688Z,evidence_inconclusive
v2_rr_0009784,False,routine_legitimate,2011-10-03T17:30:45.769534929Z,consistent
v2_rr_0009785,False,routine_legitimate,2011-09-30T18:49:53.901491511Z,inconsistent
v2_rr_0009786,False,routine_legitimate,2011-10-01T19:26:02.716778293Z,inconsistent
v2_rr_0009787,False,cold_start_customer,2011-10-03T00:05:52.182785563Z,consistent
v2_rr_0009788,False,routine_legitimate,2011-10-07T02:33:26.861050915Z,consistent
v2_rr_0009789,False,routine_legitimate,2011-10-07T02:49:57.146138882Z,consistent
v2_rr_0009790,False,routine_legitimate,2011-10-06T02:57:49.022048970Z,consistent
v2_rr_0009791,False,unusual_legitimate_purchase,2011-10-02T11:00:02.947918792Z,evidence_inconclusive
v2_rr_0009792,False,routine_legitimate,2011-10-06T12:54:32.915133840Z,inconsistent
v2_rr_0009793,False,missing_evidence,2011-09-30T14:06:16.069838334Z,evidence_inconclusive
v2_rr_0009794,False,routine_legitimate,2011-10-07T14:14:41.864462877Z,consistent
v2_rr_0009795,False,routine_legitimate,2011-10-03T15:28:42.873904592Z,consistent
v2_rr_0009796,False,routine_legitimate,2011-09-28T18:09:41.059839787Z,consistent
v2_rr_0009797,False,routine_legitimate,2011-10-07T20:35:33.360018871Z,consistent
v2_rr_0009798,False,verifier_unavailable,2011-10-02T01:49:19.942238206Z,verifier_unavailable
v2_rr_0009799,False,genuine_product_defect_burst,2011-09-30T05:03:59.641848806Z,consistent
v2_rr_0009800,False,routine_legitimate,2011-10-06T10:54:26.107330478Z,consistent
v2_rr_0009801,False,routine_legitimate,2011-10-02T18:49:11.039174881Z,consistent
v2_rr_0009802,False,high_value_loyal_customer,2011-09-30T18:58:27.310359997Z,consistent
v2_rr_0009803,False,routine_legitimate,2011-10-05T19:12:09.243235747Z,consistent
v2_rr_0009804,False,routine_legitimate,2011-10-04T20:30:57.799044892Z,consistent
v2_rr_0009805,False,routine_legitimate,2011-09-30T02:49:29.081313313Z,evidence_inconclusive
v2_rr_0009806,False,routine_legitimate,2011-10-06T03:23:52.281609069Z,consistent
v2_rr_0009807,False,routine_legitimate,2011-10-03T04:53:47.528652976Z,consistent
v2_rr_0009808,False,routine_legitimate,2011-10-06T05:41:41.577361947Z,consistent
v2_rr_0009809,False,routine_legitimate,2011-10-08T06:03:28.359716343Z,consistent
v2_rr_0009810,False,routine_legitimate,2011-10-09T07:06:28.797222196Z,consistent
v2_rr_0009811,False,routine_legitimate,2011-10-05T07:52:33.079133550Z,consistent
v2_rr_0009812,False,routine_legitimate,2011-10-01T08:01:29.936252665Z,consistent
v2_rr_0009813,False,routine_legitimate,2011-10-09T08:58:29.966741074Z,consistent
v2_rr_0009814,False,first_time_refund,2011-10-05T10:24:49.597742812Z,consistent
v2_rr_0009815,False,cold_start_customer,2011-10-04T11:14:33.562224835Z,inconsistent
v2_rr_0009816,False,unusual_legitimate_purchase,2011-10-01T13:14:27.378074145Z,consistent
v2_rr_0009817,False,missing_evidence,2011-10-06T14:34:28.986332060Z,evidence_inconclusive
v2_rr_0009818,False,routine_legitimate,2011-10-07T17:51:05.146917201Z,consistent
v2_rr_0009819,False,routine_legitimate,2011-10-03T21:23:56.508958906Z,inconsistent
v2_rr_0009820,False,verifier_unavailable,2011-10-03T23:39:37.189398375Z,verifier_unavailable
v2_rr_0009821,False,routine_legitimate,2011-10-04T01:35:14.341001520Z,consistent
v2_rr_0009822,False,routine_legitimate,2011-10-03T01:42:47.128937574Z,consistent
v2_rr_0009823,False,routine_legitimate,2011-10-09T02:01:08.444676438Z,consistent
v2_rr_0009824,False,routine_legitimate,2011-10-01T04:07:03.358281442Z,consistent
v2_rr_0009825,False,genuine_product_defect_burst,2011-10-05T04:41:01.421960870Z,consistent
v2_rr_0009826,True,serial_false_claim,2011-10-07T05:38:27.658096912Z,inconsistent
v2_rr_0009827,False,routine_legitimate,2011-10-02T06:00:12.702148857Z,consistent
v2_rr_0009828,False,routine_legitimate,2011-10-03T07:13:23.325009415Z,inconsistent
v2_rr_0009829,False,routine_legitimate,2011-10-05T07:44:54.585825536Z,evidence_inconclusive
v2_rr_0009830,False,high_value_loyal_customer,2011-10-08T08:39:46.598133157Z,consistent
v2_rr_0009831,False,routine_legitimate,2011-10-04T11:12:13.957503556Z,consistent
v2_rr_0009832,False,routine_legitimate,2011-10-03T11:56:29.112048613Z,evidence_inconclusive
v2_rr_0009833,False,routine_legitimate,2011-10-02T14:40:02.339499542Z,inconsistent
v2_rr_0009834,False,routine_legitimate,2011-10-04T16:01:27.551587023Z,consistent
v2_rr_0009835,False,routine_legitimate,2011-10-04T17:56:25.036718781Z,consistent
v2_rr_0009836,False,routine_legitimate,2011-10-08T18:14:30.754121156Z,consistent
v2_rr_0009837,False,first_time_refund,2011-10-05T19:14:51.776661881Z,consistent
v2_rr_0009838,False,cold_start_customer,2011-10-03T22:38:52.520810919Z,consistent
v2_rr_0009839,False,unusual_legitimate_purchase,2011-10-04T23:16:31.822886348Z,consistent
v2_rr_0009840,False,routine_legitimate,2011-10-07T00:44:12.305400283Z,consistent
v2_rr_0009841,True,repeated_claim_pattern,2011-10-11T01:55:20.759164142Z,inconsistent
v2_rr_0009842,False,routine_legitimate,2011-10-11T02:40:50.531423655Z,consistent
v2_rr_0009843,False,routine_legitimate,2011-10-11T03:48:58.463853448Z,consistent
v2_rr_0009844,False,routine_legitimate,2011-10-07T10:30:23.164299879Z,consistent
v2_rr_0009845,False,routine_legitimate,2011-10-09T11:43:05.427580802Z,consistent
v2_rr_0009846,False,routine_legitimate,2011-10-07T12:38:53.887426777Z,consistent
v2_rr_0009847,False,routine_legitimate,2011-10-04T12:46:40.657679718Z,consistent
v2_rr_0009848,False,routine_legitimate,2011-10-03T13:06:22.711278865Z,consistent
v2_rr_0009849,False,routine_legitimate,2011-10-08T13:49:42.851004502Z,consistent
v2_rr_0009850,False,routine_legitimate,2011-10-10T13:55:07.692837123Z,consistent
v2_rr_0009851,True,peer_deviation,2011-10-04T15:10:55.092712370Z,inconsistent
v2_rr_0009852,False,routine_legitimate,2011-10-05T16:11:37.451088747Z,consistent
v2_rr_0009853,False,routine_legitimate,2011-10-05T17:03:44.899545814Z,consistent
v2_rr_0009854,False,routine_legitimate,2011-10-02T21:47:53.488006573Z,consistent
v2_rr_0009855,False,routine_legitimate,2011-10-09T22:57:34.324859023Z,consistent
v2_rr_0009856,False,routine_legitimate,2011-10-05T08:43:38.277493850Z,consistent
v2_rr_0009857,False,routine_legitimate,2011-10-04T10:44:44.592791175Z,consistent
v2_rr_0009858,False,routine_legitimate,2011-10-03T11:05:01.598354090Z,consistent
v2_rr_0009859,False,routine_legitimate,2011-10-09T11:40:06.005545728Z,consistent
v2_rr_0009860,False,missing_evidence,2011-10-09T11:48:20.830394454Z,evidence_inconclusive
v2_rr_0009861,False,routine_legitimate,2011-10-04T12:10:06.964951524Z,evidence_inconclusive
v2_rr_0009862,False,routine_legitimate,2011-10-04T16:12:04.435343884Z,consistent
v2_rr_0009863,False,routine_legitimate,2011-10-09T20:42:31.602911151Z,consistent
v2_rr_0009864,False,verifier_unavailable,2011-10-03T21:49:03.758781765Z,verifier_unavailable
v2_rr_0009865,False,routine_legitimate,2011-10-10T23:17:05.379851580Z,consistent
v2_rr_0009866,True,claim_timing,2011-10-05T00:21:17.003599104Z,consistent
v2_rr_0009867,False,routine_legitimate,2011-10-07T00:22:56.550648160Z,consistent
v2_rr_0009868,False,genuine_product_defect_burst,2011-10-04T01:54:14.850610506Z,consistent
v2_rr_0009869,False,routine_legitimate,2011-10-11T02:32:23.843585265Z,consistent
v2_rr_0009870,False,routine_legitimate,2011-10-12T04:10:33.974589871Z,consistent
v2_rr_0009871,False,routine_legitimate,2011-10-09T04:49:02.432760736Z,inconsistent
v2_rr_0009872,False,routine_legitimate,2011-10-07T06:08:29.230232861Z,consistent
v2_rr_0009873,True,claim_reason_inconsistency,2011-10-09T07:30:15.420148278Z,inconsistent
v2_rr_0009874,False,routine_legitimate,2011-10-07T08:53:32.029119654Z,consistent
v2_rr_0009875,False,routine_legitimate,2011-10-12T09:32:51.715508953Z,consistent
v2_rr_0009876,False,routine_legitimate,2011-10-06T10:16:32.978024988Z,consistent
v2_rr_0009877,False,routine_legitimate,2011-10-09T11:26:59.378837451Z,consistent
v2_rr_0009878,False,high_value_loyal_customer,2011-10-06T11:27:07.827831306Z,consistent
v2_rr_0009879,False,first_time_refund,2011-10-09T14:30:51.873378154Z,consistent
v2_rr_0009880,True,supporting_entity_pattern,2011-10-13T15:38:53.584346961Z,inconsistent
v2_rr_0009881,False,cold_start_customer,2011-10-12T16:13:36.778099490Z,evidence_inconclusive
v2_rr_0009882,False,routine_legitimate,2011-10-13T17:08:55.805965482Z,consistent
v2_rr_0009883,False,routine_legitimate,2011-10-05T19:54:35.505127923Z,consistent
v2_rr_0009884,False,routine_legitimate,2011-10-10T20:29:39.923329420Z,consistent
v2_rr_0009885,False,routine_legitimate,2011-10-08T20:40:26.337490779Z,consistent
v2_rr_0009886,False,routine_legitimate,2011-10-09T21:41:47.120044675Z,consistent
v2_rr_0009887,False,routine_legitimate,2011-10-14T01:42:46.898143051Z,consistent
v2_rr_0009888,False,unusual_legitimate_purchase,2011-10-12T05:02:00.454356784Z,consistent
v2_rr_0009889,False,routine_legitimate,2011-10-09T05:52:33.421716866Z,consistent
v2_rr_0009890,False,routine_legitimate,2011-10-09T07:30:41.361676201Z,consistent
v2_rr_0009891,True,cross_category_escalation,2011-10-11T07:35:06.436811204Z,inconsistent
v2_rr_0009892,True,evidence_inconsistency,2011-10-14T08:17:34.005309592Z,inconsistent
v2_rr_0009893,False,routine_legitimate,2011-10-10T12:01:13.369009491Z,consistent
v2_rr_0009894,False,routine_legitimate,2011-10-11T14:16:43.953634281Z,consistent
v2_rr_0009895,False,routine_legitimate,2011-10-06T14:38:49.458741261Z,consistent
v2_rr_0009896,False,routine_legitimate,2011-10-14T15:20:09.103870530Z,evidence_inconclusive
v2_rr_0009897,False,routine_legitimate,2011-10-12T15:56:20.503197961Z,consistent
v2_rr_0009898,False,routine_legitimate,2011-10-07T20:51:11.476587955Z,consistent
v2_rr_0009899,True,serial_false_claim,2011-10-06T20:55:09.629122872Z,inconsistent
v2_rr_0009900,False,routine_legitimate,2011-10-12T22:22:43.016146404Z,consistent
v2_rr_0009901,False,routine_legitimate,2011-10-08T23:56:28.351117021Z,consistent
v2_rr_0009902,False,routine_legitimate,2011-10-14T00:47:21.380786239Z,consistent
v2_rr_0009903,True,repeated_claim_pattern,2011-10-08T04:02:35.194411158Z,inconsistent
v2_rr_0009904,False,routine_legitimate,2011-10-12T07:22:17.125573737Z,consistent
v2_rr_0009905,False,routine_legitimate,2011-10-10T07:47:08.819274484Z,consistent
v2_rr_0009906,False,routine_legitimate,2011-10-08T08:29:13.758318642Z,consistent
v2_rr_0009907,False,routine_legitimate,2011-10-07T09:56:02.825759103Z,consistent
v2_rr_0009908,False,routine_legitimate,2011-10-14T11:27:53.858063643Z,consistent
v2_rr_0009909,False,routine_legitimate,2011-10-08T12:30:24.779020287Z,consistent
v2_rr_0009910,False,missing_evidence,2011-10-13T13:42:48.035986831Z,evidence_inconclusive
v2_rr_0009911,False,routine_legitimate,2011-10-10T15:13:44.552480895Z,consistent
